"uniqueid","p1","p2","p3","p4","p5"
20053612,0.408,0.21,0.016,0.282,0.084
20053610,0.392,0.208,0.02,0.3,0.08
20053609,0.276,0.334,0.068,0.1,0.222
20053604,0.346,0.312,0.044,0.17,0.128
20053593,0.464,0.214,0.02,0.23,0.072
20053587,0.484,0.24,0.02,0.192,0.064
20053575,0.292,0.35,0.092,0.12,0.146
20053574,0.234,0.288,0.136,0.104,0.238
20053568,0.306,0.354,0.068,0.128,0.144
20053567,0.26,0.344,0.094,0.064,0.238
20053562,0.414,0.242,0.036,0.168,0.14
20053561,0.424,0.192,0.036,0.246,0.102
20053558,0.464,0.154,0.016,0.32,0.046
20053549,0.36,0.28,0.052,0.17,0.138
20053547,0.386,0.252,0.034,0.218,0.11
20053546,0.462,0.216,0.01,0.264,0.048
20053535,0.28,0.304,0.102,0.116,0.198
20053532,0.294,0.312,0.062,0.106,0.226
20053531,0.282,0.322,0.104,0.072,0.22
20053530,0.406,0.26,0.024,0.18,0.13
20053526,0.382,0.238,0.024,0.256,0.1
20053523,0.446,0.262,0.042,0.136,0.114
20053511,0.47,0.274,0.016,0.156,0.084
20053505,0.336,0.312,0.08,0.094,0.178
20053495,0.296,0.312,0.07,0.1,0.222
20053489,0.33,0.338,0.062,0.114,0.156
20053484,0.26,0.35,0.088,0.072,0.23
20053481,0.44,0.218,0.022,0.216,0.104
20053466,0.374,0.294,0.028,0.182,0.122
20053463,0.306,0.338,0.108,0.058,0.19
20053462,0.36,0.27,0.052,0.174,0.144
20053454,0.46,0.15,0.014,0.284,0.092
20053448,0.392,0.292,0.038,0.176,0.102
20053439,0.458,0.212,0.022,0.252,0.056
20053435,0.398,0.332,0.046,0.114,0.11
20053430,0.296,0.332,0.08,0.082,0.21
20053418,0.388,0.314,0.052,0.126,0.12
20053411,0.396,0.252,0.046,0.224,0.082
20053408,0.35,0.272,0.064,0.142,0.172
20053407,0.462,0.252,0.014,0.208,0.064
20053404,0.458,0.284,0.016,0.144,0.098
20053400,0.336,0.334,0.07,0.124,0.136
20053398,0.464,0.202,0.014,0.214,0.106
20053394,0.43,0.174,0,0.338,0.058
20053390,0.434,0.294,0.012,0.166,0.094
20053389,0.472,0.188,0.01,0.28,0.05
20053385,0.462,0.216,0.058,0.176,0.088
20053383,0.492,0.184,0.022,0.254,0.048
20053369,0.444,0.222,0.008,0.226,0.1
20053368,0.182,0.288,0.142,0.048,0.34
20053359,0.418,0.218,0.028,0.246,0.09
20053330,0.338,0.262,0.032,0.23,0.138
20053326,0.376,0.252,0.092,0.134,0.146
20053312,0.36,0.302,0.032,0.158,0.148
20053301,0.416,0.194,0.01,0.324,0.056
20053288,0.336,0.296,0.054,0.17,0.144
20053287,0.326,0.324,0.04,0.142,0.168
20053271,0.386,0.216,0.056,0.218,0.124
20053267,0.376,0.324,0.024,0.12,0.156
20053260,0.4,0.25,0.024,0.218,0.108
20053253,0.514,0.232,0.016,0.154,0.084
20053246,0.39,0.322,0.028,0.146,0.114
20053239,0.346,0.25,0.092,0.158,0.154
20053238,0.478,0.222,0.012,0.23,0.058
20053237,0.346,0.24,0.064,0.192,0.158
20053236,0.412,0.27,0.028,0.182,0.108
20053228,0.256,0.326,0.114,0.098,0.206
20053225,0.418,0.278,0.03,0.164,0.11
20053218,0.158,0.248,0.216,0.048,0.33
20053217,0.444,0.26,0.02,0.178,0.098
20053213,0.316,0.34,0.094,0.094,0.156
20053212,0.418,0.32,0.042,0.124,0.096
20053207,0.476,0.28,0.016,0.166,0.062
20053205,0.24,0.35,0.128,0.064,0.218
20053194,0.342,0.24,0.028,0.284,0.106
20053190,0.242,0.324,0.108,0.088,0.238
20053189,0.512,0.178,0.008,0.234,0.068
20053187,0.222,0.288,0.16,0.09,0.24
20053185,0.462,0.218,0.04,0.166,0.114
20053184,0.342,0.25,0.08,0.16,0.168
20053183,0.288,0.314,0.062,0.092,0.244
20053182,0.492,0.226,0.016,0.174,0.092
20053181,0.38,0.268,0.04,0.128,0.184
20053174,0.334,0.31,0.086,0.104,0.166
20053172,0.464,0.252,0.028,0.164,0.092
20053166,0.41,0.256,0.038,0.172,0.124
20053149,0.396,0.292,0.06,0.122,0.13
20053148,0.396,0.306,0.042,0.12,0.136
20053146,0.41,0.302,0.02,0.168,0.1
20053145,0.394,0.252,0.034,0.166,0.154
20053141,0.4,0.22,0,0.316,0.064
20053136,0.302,0.32,0.096,0.084,0.198
20053133,0.38,0.268,0.044,0.148,0.16
20053129,0.376,0.286,0.04,0.172,0.126
20053126,0.356,0.25,0.054,0.234,0.106
20053122,0.236,0.286,0.142,0.06,0.276
20053119,0.328,0.296,0.038,0.166,0.172
20053118,0.41,0.264,0.026,0.182,0.118
20053113,0.25,0.296,0.114,0.094,0.246
20053112,0.334,0.316,0.056,0.128,0.166
20053101,0.352,0.328,0.054,0.146,0.12
20053075,0.326,0.342,0.072,0.098,0.162
20053067,0.424,0.272,0.034,0.192,0.078
20053064,0.286,0.304,0.088,0.102,0.22
20053059,0.424,0.174,0.016,0.306,0.08
20053058,0.398,0.18,0.03,0.312,0.08
20053053,0.354,0.318,0.04,0.118,0.17
20053044,0.432,0.266,0.03,0.204,0.068
20053041,0.418,0.218,0.016,0.284,0.064
20053032,0.468,0.254,0.026,0.17,0.082
20053031,0.414,0.26,0.036,0.18,0.11
20053028,0.488,0.232,0.006,0.176,0.098
20053019,0.488,0.202,0.004,0.262,0.044
20053018,0.426,0.264,0.042,0.114,0.154
20053016,0.294,0.3,0.112,0.06,0.234
20053006,0.466,0.202,0.022,0.252,0.058
20053003,0.466,0.23,0.036,0.154,0.114
20052999,0.394,0.282,0.036,0.19,0.098
20052987,0.362,0.154,0.022,0.382,0.08
20052984,0.408,0.226,0.026,0.244,0.096
20052975,0.388,0.33,0.028,0.138,0.116
20052971,0.27,0.304,0.124,0.076,0.226
20052957,0.44,0.278,0.024,0.13,0.128
20052956,0.422,0.224,0.03,0.204,0.12
20052955,0.304,0.346,0.08,0.092,0.178
20052933,0.428,0.244,0.036,0.208,0.084
20052932,0.408,0.24,0.02,0.266,0.066
20052922,0.234,0.36,0.116,0.048,0.242
20052918,0.218,0.326,0.142,0.054,0.26
20052912,0.4,0.262,0.028,0.214,0.096
20052910,0.174,0.34,0.184,0.03,0.272
20052906,0.422,0.244,0.016,0.238,0.08
20052900,0.418,0.198,0.022,0.284,0.078
20052892,0.258,0.374,0.066,0.108,0.194
20052883,0.372,0.278,0.056,0.164,0.13
20052877,0.288,0.278,0.07,0.13,0.234
20052872,0.436,0.258,0.018,0.18,0.108
20052867,0.418,0.194,0.006,0.3,0.082
20052866,0.472,0.214,0.02,0.224,0.07
20052862,0.354,0.29,0.054,0.142,0.16
20052848,0.474,0.24,0.018,0.16,0.108
20052844,0.394,0.234,0.032,0.23,0.11
20052843,0.32,0.324,0.072,0.084,0.2
20052842,0.386,0.282,0.036,0.136,0.16
20052841,0.406,0.262,0.034,0.178,0.12
20052836,0.47,0.18,0.02,0.232,0.098
20052831,0.23,0.37,0.1,0.06,0.24
20052830,0.404,0.294,0.022,0.162,0.118
20052820,0.336,0.276,0.082,0.14,0.166
20052816,0.422,0.224,0.044,0.17,0.14
20052814,0.372,0.19,0.024,0.34,0.074
20052801,0.358,0.27,0.042,0.208,0.122
20052799,0.43,0.294,0.058,0.1,0.118
20052785,0.398,0.354,0.052,0.08,0.116
20052768,0.392,0.256,0.042,0.16,0.15
20052762,0.258,0.348,0.112,0.068,0.214
20052750,0.356,0.264,0.078,0.202,0.1
20052744,0.378,0.262,0.024,0.256,0.08
20052736,0.494,0.208,0.014,0.226,0.058
20052734,0.428,0.174,0.008,0.346,0.044
20052729,0.49,0.18,0.018,0.252,0.06
20052724,0.458,0.198,0.008,0.28,0.056
20052722,0.354,0.328,0.028,0.158,0.132
20052714,0.326,0.294,0.108,0.132,0.14
20052708,0.402,0.192,0.01,0.326,0.07
20052705,0.29,0.304,0.042,0.208,0.156
20052696,0.428,0.262,0.02,0.19,0.1
20052687,0.216,0.37,0.12,0.036,0.258
20052671,0.366,0.302,0.056,0.134,0.142
20052668,0.322,0.386,0.052,0.084,0.156
20052663,0.494,0.228,0.022,0.182,0.074
20052661,0.462,0.228,0.016,0.232,0.062
20052659,0.35,0.328,0.042,0.136,0.144
20052658,0.352,0.222,0.06,0.186,0.18
20052657,0.234,0.31,0.132,0.072,0.252
20052656,0.318,0.298,0.12,0.102,0.162
20052653,0.456,0.19,0.016,0.274,0.064
20052639,0.356,0.312,0.026,0.196,0.11
20052638,0.278,0.376,0.092,0.07,0.184
20052637,0.466,0.228,0.018,0.218,0.07
20052632,0.43,0.228,0.014,0.252,0.076
20052631,0.436,0.24,0.026,0.17,0.128
20052629,0.256,0.32,0.126,0.07,0.228
20052618,0.404,0.158,0.01,0.352,0.076
20052612,0.436,0.164,0.016,0.33,0.054
20052607,0.44,0.248,0.01,0.218,0.084
20052605,0.204,0.372,0.11,0.066,0.248
20052604,0.376,0.238,0.032,0.252,0.102
20052595,0.328,0.306,0.068,0.132,0.166
20052593,0.26,0.346,0.128,0.078,0.188
20052590,0.404,0.34,0.032,0.122,0.102
20052568,0.456,0.178,0.008,0.294,0.064
20052565,0.236,0.384,0.088,0.104,0.188
20052555,0.45,0.266,0.034,0.184,0.066
20052544,0.392,0.218,0.054,0.18,0.156
20052541,0.458,0.262,0.016,0.178,0.086
20052539,0.44,0.224,0.016,0.246,0.074
20052518,0.382,0.296,0.026,0.186,0.11
20052515,0.35,0.29,0.01,0.256,0.094
20052511,0.424,0.28,0.042,0.172,0.082
20052509,0.408,0.288,0.026,0.122,0.156
20052505,0.468,0.196,0.042,0.204,0.09
20052499,0.394,0.254,0.024,0.218,0.11
20052497,0.302,0.308,0.1,0.07,0.22
20052495,0.304,0.32,0.09,0.144,0.142
20052492,0.418,0.244,0.03,0.216,0.092
20052484,0.37,0.226,0.052,0.22,0.132
20052482,0.38,0.288,0.01,0.248,0.074
20052473,0.43,0.234,0.056,0.166,0.114
20052466,0.416,0.23,0.012,0.286,0.056
20052459,0.382,0.292,0.082,0.09,0.154
20052456,0.448,0.294,0.03,0.15,0.078
20052455,0.406,0.276,0.03,0.19,0.098
20052447,0.342,0.236,0.058,0.216,0.148
20052442,0.38,0.242,0.044,0.146,0.188
20052440,0.368,0.336,0.05,0.112,0.134
20052431,0.38,0.266,0.034,0.192,0.128
20052424,0.358,0.296,0.044,0.17,0.132
20052418,0.422,0.212,0.012,0.304,0.05
20052413,0.27,0.334,0.098,0.084,0.214
20052405,0.402,0.254,0.046,0.168,0.13
20052401,0.414,0.276,0.046,0.14,0.124
20052399,0.288,0.314,0.134,0.062,0.202
20052397,0.402,0.262,0.018,0.214,0.104
20052396,0.456,0.194,0.02,0.272,0.058
20052395,0.334,0.312,0.048,0.178,0.128
20052378,0.446,0.142,0.008,0.332,0.072
20052377,0.324,0.3,0.054,0.14,0.182
20052366,0.326,0.296,0.056,0.136,0.186
20052361,0.27,0.346,0.12,0.07,0.194
20052356,0.278,0.322,0.104,0.108,0.188
20052343,0.304,0.304,0.1,0.094,0.198
20052342,0.324,0.31,0.074,0.112,0.18
20052341,0.328,0.288,0.05,0.12,0.214
20052339,0.454,0.194,0.002,0.278,0.072
20052336,0.308,0.336,0.064,0.108,0.184
20052333,0.446,0.26,0.022,0.19,0.082
20052325,0.43,0.27,0.048,0.134,0.118
20052319,0.396,0.266,0.026,0.21,0.102
20052302,0.318,0.342,0.074,0.086,0.18
20052300,0.402,0.216,0.04,0.21,0.132
20052299,0.426,0.24,0.034,0.21,0.09
20052294,0.44,0.246,0.016,0.21,0.088
20052293,0.386,0.242,0.03,0.24,0.102
20052290,0.452,0.3,0.026,0.114,0.108
20052285,0.284,0.294,0.09,0.106,0.226
20052282,0.328,0.3,0.064,0.104,0.204
20052281,0.296,0.266,0.112,0.112,0.214
20052278,0.438,0.238,0.022,0.24,0.062
20052275,0.378,0.296,0.042,0.156,0.128
20052274,0.374,0.17,0.004,0.36,0.092
20052272,0.416,0.264,0.03,0.178,0.112
20052267,0.334,0.318,0.082,0.102,0.164
20052265,0.342,0.256,0.076,0.142,0.184
20052264,0.348,0.362,0.032,0.106,0.152
20052263,0.456,0.192,0.018,0.25,0.084
20052251,0.422,0.286,0.036,0.154,0.102
20052244,0.464,0.234,0.008,0.232,0.062
20052238,0.322,0.346,0.092,0.074,0.166
20052234,0.412,0.258,0.018,0.23,0.082
20052233,0.418,0.24,0.028,0.2,0.114
20052227,0.23,0.31,0.1,0.084,0.276
20052222,0.432,0.296,0.036,0.15,0.086
20052220,0.232,0.346,0.144,0.082,0.196
20052213,0.364,0.324,0.024,0.142,0.146
20052211,0.256,0.326,0.114,0.054,0.25
20052196,0.256,0.308,0.082,0.14,0.214
20052185,0.302,0.282,0.124,0.062,0.23
20052183,0.454,0.236,0.004,0.208,0.098
20052174,0.43,0.212,0.028,0.258,0.072
20052172,0.37,0.286,0.034,0.162,0.148
20052170,0.362,0.314,0.024,0.176,0.124
20052161,0.274,0.32,0.102,0.068,0.236
20052158,0.39,0.32,0.026,0.124,0.14
20052143,0.49,0.18,0.018,0.264,0.048
20052126,0.39,0.198,0.022,0.306,0.084
20052113,0.4,0.29,0.024,0.154,0.132
20052107,0.428,0.16,0.002,0.336,0.074
20052101,0.426,0.232,0.018,0.254,0.07
20052099,0.44,0.198,0.006,0.28,0.076
20052098,0.4,0.24,0.018,0.234,0.108
20052094,0.31,0.326,0.06,0.14,0.164
20052090,0.268,0.308,0.078,0.09,0.256
20052081,0.38,0.21,0.014,0.312,0.084
20052076,0.388,0.222,0.012,0.3,0.078
20052067,0.24,0.38,0.098,0.042,0.24
20052063,0.336,0.258,0.096,0.132,0.178
20052056,0.464,0.2,0.018,0.274,0.044
20052053,0.27,0.312,0.096,0.1,0.222
20052052,0.294,0.334,0.09,0.064,0.218
20052048,0.378,0.302,0.036,0.154,0.13
20052035,0.28,0.362,0.094,0.086,0.178
20052033,0.266,0.348,0.09,0.062,0.234
20052028,0.468,0.156,0.004,0.32,0.052
20052025,0.33,0.318,0.056,0.14,0.156
20052022,0.378,0.296,0.056,0.124,0.146
20052019,0.318,0.232,0.096,0.158,0.196
20052018,0.302,0.322,0.074,0.094,0.208
20052015,0.298,0.29,0.1,0.124,0.188
20052008,0.438,0.222,0.024,0.254,0.062
20052007,0.302,0.344,0.096,0.096,0.162
20052006,0.362,0.332,0.052,0.1,0.154
20051999,0.43,0.286,0.038,0.126,0.12
20051991,0.394,0.218,0.054,0.204,0.13
20051987,0.31,0.314,0.066,0.088,0.222
20051968,0.408,0.348,0.036,0.116,0.092
20051957,0.38,0.31,0.032,0.16,0.118
20051956,0.362,0.244,0.028,0.27,0.096
20051936,0.378,0.28,0.024,0.204,0.114
20051934,0.42,0.172,0.014,0.338,0.056
20051930,0.346,0.324,0.066,0.102,0.162
20051927,0.456,0.202,0.034,0.224,0.084
20051924,0.3,0.32,0.052,0.128,0.2
20051919,0.382,0.324,0.038,0.15,0.106
20051917,0.412,0.28,0.036,0.178,0.094
20051906,0.306,0.324,0.04,0.182,0.148
20051904,0.464,0.166,0.012,0.286,0.072
20051900,0.348,0.316,0.078,0.1,0.158
20051896,0.384,0.316,0.01,0.222,0.068
20051883,0.336,0.336,0.046,0.118,0.164
20051872,0.38,0.306,0.02,0.198,0.096
20051870,0.376,0.302,0.05,0.12,0.152
20051863,0.368,0.234,0.012,0.302,0.084
20051862,0.292,0.294,0.056,0.212,0.146
20051848,0.296,0.318,0.07,0.1,0.216
20051842,0.272,0.344,0.098,0.092,0.194
20051831,0.402,0.214,0.02,0.272,0.092
20051828,0.162,0.292,0.176,0.06,0.31
20051823,0.368,0.296,0.048,0.166,0.122
20051822,0.244,0.302,0.108,0.104,0.242
20051817,0.45,0.252,0.028,0.158,0.112
20051816,0.42,0.156,0.02,0.294,0.11
20051815,0.418,0.246,0.044,0.124,0.168
20051795,0.47,0.218,0.002,0.254,0.056
20051793,0.328,0.332,0.054,0.098,0.188
20051779,0.398,0.24,0.028,0.178,0.156
20051770,0.464,0.268,0.028,0.132,0.108
20051767,0.46,0.17,0.008,0.3,0.062
20051766,0.436,0.232,0.032,0.168,0.132
20051763,0.28,0.348,0.068,0.052,0.252
20051760,0.432,0.218,0.014,0.224,0.112
20051759,0.29,0.342,0.09,0.072,0.206
20051754,0.388,0.176,0.012,0.324,0.1
20051753,0.378,0.22,0.038,0.192,0.172
20051749,0.348,0.298,0.062,0.134,0.158
20051742,0.398,0.214,0.034,0.262,0.092
20051729,0.332,0.302,0.068,0.138,0.16
20051721,0.218,0.336,0.138,0.076,0.232
20051695,0.264,0.29,0.086,0.146,0.214
20051694,0.454,0.202,0.008,0.284,0.052
20051690,0.454,0.246,0.008,0.186,0.106
20051678,0.37,0.326,0.042,0.122,0.14
20051675,0.326,0.298,0.058,0.144,0.174
20051620,0.244,0.322,0.126,0.086,0.222
20051606,0.338,0.338,0.08,0.096,0.148
20051588,0.316,0.298,0.074,0.096,0.216
20051558,0.478,0.206,0.014,0.25,0.052
20051557,0.306,0.348,0.084,0.084,0.178
20051546,0.204,0.28,0.176,0.032,0.308
20051542,0.308,0.328,0.056,0.104,0.204
20051519,0.44,0.18,0.008,0.318,0.054
20051517,0.406,0.23,0.026,0.266,0.072
20051506,0.254,0.276,0.152,0.096,0.222
20051503,0.358,0.25,0.066,0.17,0.156
20051470,0.42,0.278,0.032,0.156,0.114
20051469,0.42,0.296,0.022,0.14,0.122
20051458,0.24,0.316,0.13,0.11,0.204
20051438,0.234,0.342,0.088,0.066,0.27
20051429,0.352,0.312,0.03,0.166,0.14
20051420,0.184,0.318,0.182,0.046,0.27
20051406,0.34,0.296,0.04,0.178,0.146
20051397,0.384,0.31,0.044,0.152,0.11
20051378,0.3,0.308,0.104,0.074,0.214
20051346,0.278,0.29,0.094,0.094,0.244
20051319,0.378,0.182,0.028,0.348,0.064
20051318,0.398,0.198,0.014,0.316,0.074
20051300,0.458,0.244,0.016,0.22,0.062
20051280,0.402,0.302,0.068,0.14,0.088
20051277,0.392,0.286,0.05,0.122,0.15
20051255,0.27,0.31,0.14,0.06,0.22
20051244,0.45,0.218,0.014,0.222,0.096
20051243,0.402,0.278,0.022,0.21,0.088
20051241,0.386,0.268,0.028,0.19,0.128
20051221,0.414,0.322,0.04,0.15,0.074
20051196,0.254,0.316,0.1,0.096,0.234
20051192,0.44,0.294,0.032,0.16,0.074
20051165,0.42,0.316,0.016,0.16,0.088
20051162,0.384,0.202,0.028,0.28,0.106
20051160,0.37,0.236,0.01,0.312,0.072
20051151,0.398,0.322,0.034,0.118,0.128
20051134,0.386,0.18,0.014,0.362,0.058
20051125,0.354,0.32,0.054,0.098,0.174
20051119,0.33,0.258,0.082,0.162,0.168
20051118,0.286,0.35,0.07,0.078,0.216
20051114,0.392,0.328,0.03,0.152,0.098
20051081,0.448,0.226,0.03,0.202,0.094
20051073,0.276,0.306,0.088,0.088,0.242
20051051,0.274,0.274,0.102,0.086,0.264
20051042,0.318,0.288,0.052,0.18,0.162
20051022,0.322,0.3,0.06,0.18,0.138
20051014,0.316,0.322,0.088,0.062,0.212
20051010,0.27,0.316,0.12,0.108,0.186
20051006,0.414,0.26,0.02,0.162,0.144
20051005,0.358,0.292,0.026,0.258,0.066
20051001,0.318,0.352,0.058,0.084,0.188
2005993,0.416,0.256,0.018,0.198,0.112
2005988,0.452,0.304,0.016,0.13,0.098
2005986,0.37,0.288,0.078,0.114,0.15
2005982,0.322,0.288,0.08,0.138,0.172
2005980,0.408,0.214,0.03,0.252,0.096
2005966,0.488,0.214,0.006,0.232,0.06
2005950,0.338,0.306,0.038,0.168,0.15
2005942,0.404,0.29,0.018,0.172,0.116
2005940,0.362,0.298,0.062,0.112,0.166
2005938,0.414,0.216,0.036,0.242,0.092
2005934,0.484,0.242,0.01,0.206,0.058
2005906,0.43,0.19,0.012,0.292,0.076
2005899,0.382,0.264,0.08,0.144,0.13
2005885,0.398,0.292,0.036,0.138,0.136
2005877,0.242,0.324,0.13,0.044,0.26
2005872,0.334,0.294,0.066,0.134,0.172
2005870,0.37,0.296,0.026,0.184,0.124
2005863,0.376,0.282,0.05,0.106,0.186
2005840,0.24,0.308,0.126,0.058,0.268
2005836,0.394,0.308,0.016,0.184,0.098
2005833,0.322,0.334,0.086,0.078,0.18
2005830,0.468,0.248,0.018,0.196,0.07
2005828,0.464,0.274,0.032,0.13,0.1
2005826,0.334,0.328,0.038,0.122,0.178
2005825,0.224,0.334,0.118,0.068,0.256
2005816,0.426,0.258,0.03,0.16,0.126
2005814,0.28,0.318,0.076,0.102,0.224
2005805,0.3,0.258,0.066,0.184,0.192
2005782,0.292,0.3,0.096,0.098,0.214
2005780,0.41,0.234,0.01,0.274,0.072
2005777,0.396,0.262,0.044,0.206,0.092
2005765,0.426,0.196,0.002,0.328,0.048
2005759,0.47,0.152,0.008,0.32,0.05
2005748,0.414,0.282,0.044,0.162,0.098
2005746,0.45,0.256,0.004,0.226,0.064
2005742,0.484,0.26,0.022,0.154,0.08
2005730,0.432,0.172,0.024,0.28,0.092
2005728,0.388,0.228,0.04,0.134,0.21
2005724,0.474,0.238,0.02,0.22,0.048
2005721,0.26,0.332,0.082,0.09,0.236
2005702,0.462,0.228,0.024,0.198,0.088
2005700,0.45,0.204,0.032,0.238,0.076
2005694,0.434,0.182,0.028,0.27,0.086
2005691,0.378,0.264,0.038,0.246,0.074
2005681,0.406,0.26,0.046,0.174,0.114
2005672,0.294,0.294,0.076,0.128,0.208
2005653,0.332,0.366,0.104,0.064,0.134
2005650,0.47,0.226,0.036,0.16,0.108
2005645,0.452,0.26,0.01,0.19,0.088
2005634,0.336,0.304,0.078,0.108,0.174
2005626,0.168,0.304,0.188,0.06,0.28
2005594,0.186,0.348,0.13,0.038,0.298
2005589,0.382,0.326,0.05,0.112,0.13
2005581,0.338,0.276,0.104,0.132,0.15
2005579,0.388,0.324,0.044,0.114,0.13
2005575,0.268,0.316,0.118,0.05,0.248
2005573,0.184,0.342,0.15,0.032,0.292
2005571,0.454,0.198,0.028,0.238,0.082
2005567,0.41,0.224,0.006,0.296,0.064
2005566,0.458,0.228,0.012,0.228,0.074
2005563,0.268,0.3,0.104,0.144,0.184
2005536,0.342,0.284,0.028,0.156,0.19
2005532,0.312,0.342,0.072,0.094,0.18
2005517,0.326,0.314,0.03,0.148,0.182
2005516,0.298,0.362,0.068,0.086,0.186
2005515,0.372,0.308,0.054,0.158,0.108
2005505,0.444,0.268,0.02,0.158,0.11
20073998,0.344,0.364,0.066,0.106,0.12
20073992,0.442,0.184,0.02,0.286,0.068
20073991,0.404,0.246,0.03,0.23,0.09
20073990,0.312,0.284,0.084,0.154,0.166
20073985,0.368,0.252,0.068,0.144,0.168
20073977,0.458,0.182,0.016,0.294,0.05
20073976,0.33,0.336,0.062,0.082,0.19
20073975,0.378,0.318,0.052,0.092,0.16
20073965,0.416,0.182,0.024,0.298,0.08
20073964,0.404,0.276,0.022,0.194,0.104
20073963,0.374,0.298,0.064,0.144,0.12
20073961,0.36,0.288,0.048,0.17,0.134
20073960,0.376,0.246,0.032,0.26,0.086
20073956,0.426,0.23,0.034,0.196,0.114
20073944,0.412,0.218,0.024,0.258,0.088
20073943,0.408,0.232,0.046,0.198,0.116
20073929,0.446,0.196,0.01,0.29,0.058
20073928,0.38,0.314,0.048,0.156,0.102
20073920,0.446,0.252,0.032,0.158,0.112
20073919,0.364,0.322,0.054,0.142,0.118
20073895,0.42,0.144,0.006,0.372,0.058
20073894,0.33,0.318,0.08,0.092,0.18
20073885,0.27,0.372,0.078,0.094,0.186
20073879,0.312,0.334,0.068,0.102,0.184
20073877,0.418,0.284,0.026,0.16,0.112
20073871,0.5,0.238,0.022,0.166,0.074
20073852,0.394,0.234,0.006,0.264,0.102
20073851,0.338,0.332,0.058,0.116,0.156
20073846,0.416,0.232,0.02,0.254,0.078
20073845,0.51,0.206,0.014,0.202,0.068
20073838,0.31,0.298,0.102,0.11,0.18
20073837,0.288,0.332,0.084,0.134,0.162
20073834,0.346,0.302,0.074,0.118,0.16
20073832,0.402,0.274,0.026,0.17,0.128
20073830,0.408,0.286,0.042,0.14,0.124
20073829,0.39,0.308,0.03,0.146,0.126
20073826,0.446,0.2,0.008,0.27,0.076
20073824,0.372,0.214,0.036,0.288,0.09
20073819,0.406,0.246,0.036,0.214,0.098
